iter	Passed	Remaining
0	446	356501
1	857	342023
2	1051	279217
3	1583	315194
4	2023	321670
5	2442	323258
6	2880	326374
7	3438	340380
8	3936	345997
9	4403	347910
10	4904	351815
11	5145	337881
12	5767	349161
13	6285	352903
14	6811	356468
15	7361	360709
16	8027	369734
17	8579	372727
18	9137	375613
19	9704	378490
20	10409	386147
21	10944	387053
22	11544	389999
23	12067	390166
24	12467	386492
25	13045	388366
26	13445	384929
27	14010	386278
28	14708	391045
29	14967	384174
30	15543	385578
31	16103	386489
32	16807	390639
33	17360	391125
34	17930	391912
35	18505	392738
36	19202	395984
37	19881	398676
38	20573	401442
39	21152	401895
40	21841	404334
41	22389	404073
42	22954	404103
43	23632	406056
44	24156	405295
45	24728	405332
46	25297	405290
47	25985	407113
48	26566	407174
49	27098	406484
50	27618	405620
51	28297	407048
52	28883	407096
53	29466	407068
54	30000	406369
55	30643	407120
56	31198	406674
57	31741	406078
58	32330	406049
59	32970	406639
60	33557	406538
61	34143	406418
62	34865	407866
63	35430	407448
64	36019	407300
65	36587	406902
66	37294	408015
67	37896	407942
68	38445	407301
69	39188	408681
70	39740	408044
71	40304	407520
72	40919	407514
73	41641	408537
74	42235	408275
75	42819	407916
76	43368	407209
77	44018	407449
78	44630	407324
79	45474	409268
80	46566	413352
81	47818	418702
82	49088	424057
83	50622	431497
84	52423	440975
85	54828	455201
86	56660	464356
87	58326	471914
88	59517	475470
89	60706	478906
90	62251	485011
91	63639	489746
92	65050	494520
93	66135	496718
94	67267	499192
95	68234	500388
96	69343	502563
97	70387	504203
98	71570	506775
99	72202	505416
100	72878	504374
101	73629	503854
102	74217	502228
103	74809	500645
104	75465	499511
105	76168	498686
106	76774	497238
107	77372	495756
108	78106	495153
109	78695	493635
110	79242	491876
111	80068	491852
112	80817	491338
113	81400	489830
114	82000	488435
115	82721	487772
116	83345	486540
117	83939	485143
118	84683	484617
119	85269	483194
120	85882	481938
121	86470	480548
122	87229	480118
123	87823	478777
124	88040	475420
125	88635	474130
126	89312	473288
127	89845	471687
128	90465	470562
129	91089	469459
130	91802	468824
131	92613	468680
132	93187	467338
133	93938	466888
134	94549	465741
135	95137	464492
136	95298	461189
137	95814	459631
138	95976	456404
139	96159	453324
140	96523	451126
141	96630	447764
142	97169	446436
143	97781	445448
144	98474	444833
145	99069	443775
146	99681	442804
147	99824	439769
148	99893	436447
149	100646	436133
150	100859	433496
151	101485	432648
152	102076	431658
153	102758	431053
154	102851	427996
155	103041	425375
156	103267	422936
157	103833	421907
158	103974	419169
159	104393	417572
160	104783	415878
161	104885	413068
162	105256	411341
163	105639	409673
164	105729	406897
165	105820	404156
166	105886	401352
167	106286	399841
168	106481	397573
169	106550	394862
170	106652	392307
171	107296	391757
172	107363	389114
173	107459	386606
174	108038	385851
175	108223	383700
176	108359	381400
177	108486	379092
178	108620	376834
179	109299	376476
180	109487	374436
181	109613	372202
182	109696	369849
183	109844	367741
184	110545	367490
185	110612	365140
186	110676	362806
187	111257	362179
188	111408	360163
189	111492	357948
190	111550	355678
191	111688	353680
192	112242	353012
193	112823	352428
194	112937	350396
195	113025	348303
196	113083	346139
197	113775	345923
198	113835	343795
199	114363	343090
200	114962	342600
201	115031	340539
202	115081	338440
203	115138	336385
204	115326	334728
205	115389	332725
206	116065	332498
207	116661	332037
208	117261	331584
209	117341	329674
210	117981	329342
211	118141	327675
212	118662	327019
213	119225	326476
214	120872	328885
215	121835	329407
216	122113	328073
217	122254	326387
218	122459	324881
219	123690	326093
220	123758	324236
221	123909	322610
222	124034	320932
223	124238	319471
224	130497	333493
225	132206	335781
226	132574	334648
227	132666	332829
228	132733	330963
229	132874	329297
230	133073	327787
231	133183	326070
232	137638	334940
233	138274	334458
234	138642	333333
235	142298	340070
236	146251	347424
237	147178	347540
238	148589	348781
239	149977	349947
240	150992	350228
241	151824	350074
242	151932	348256
243	152261	346957
244	152354	345130
245	153169	344942
246	153256	343121
247	153995	342764
248	154081	340959
249	154198	339236
250	154505	337941
251	154800	336629
252	154927	334962
253	155394	334037
254	155521	332389
255	156258	332049
256	156428	330508
257	157166	330172
258	157284	328536
259	158121	328405
260	158222	326749
